band,rows,cells,feature,abs_share,within_cell_share,corr_with_truth_within,r2_within_band,r2_within_alpha,within_frac_of_target_var
d6_10,3240,30,mst_edge_q10,0.0026534885412404377,0.0003421255224919083,0.02569782238637033,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_q25,0.005564717368794947,0.0006927410828443756,0.026777987736060868,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_q50,0.0036194046666747377,0.00030775484577896865,0.014434524342209824,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_q75,0.0046419704290489435,-0.0013082380504222688,-0.039930995812274876,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_q90,0.00390564106506944,-0.0009090358216661771,-0.03215258870021735,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_dominance_ratio,0.3248391881374731,0.2979132223537336,0.7131275997541928,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_gap_ratio,0.012730485312801545,0.01348489118757154,0.2524262379285435,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_leaf_ratio,0.015809755607553235,0.028815354141071427,0.3521982472559611,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_degree_mean,0.04854334902812937,0.04378078285319132,0.5979648785746832,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_degree_std,0.00944074321097207,0.012331958808293648,0.29919575417479305,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_degree_max,0.007754440759145362,0.001128535934680944,0.060938969597870436,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_diameter,0.019592975364044626,0.012173521454151988,0.12172123252350693,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_diameter_normalized,0.10338765712775111,0.05774337528417011,0.3451846036238881,0.8530925564225853,0.891472598328496,0.1078925302922542
