population,instance,n,dimension,rho_nominal,rho_measured,kurtosis,alpha,large_n
benchmark,TSP-line_noise-n80-g1000-4,80,2,,7.689822735657506,2.2158983922884987,1.6571823868018416,False
benchmark,TSP-line_noise-n80-g1000-5,80,2,,2.925540128552015,2.6769799163547123,1.6443208230768218,False
benchmark,TSP-line_noise-n80-g10000-1,80,2,,1.3835049428561879,2.8922705579765027,1.356695624391315,False
benchmark,TSP-line_noise-n80-g10000-2,80,2,,4.33177460877442,2.3991154276242614,1.6367760062286314,False
benchmark,TSP-line_noise-n80-g10000-3,80,2,,6.538453777739337,1.6527897097835575,1.7019628142892844,False
benchmark,TSP-line_noise-n80-g10000-4,80,2,,5.684088214186456,1.8276346682688536,1.7550740651704506,False
benchmark,TSP-line_noise-n80-g10000-5,80,2,,1.1283932860447112,2.3540010659047303,1.41541435083251,False
benchmark,TSP-line_noise-n800-g1000-1,800,2,,11.312937645487652,2.909315400617952,1.1535067039839952,True
benchmark,TSP-line_noise-n800-g1000-2,800,2,,84.40594191485283,2.0041068372326856,1.3331948554970956,True
benchmark,TSP-line_noise-n800-g1000-3,800,2,,33.83591947223944,2.9190537782168526,1.2504469517926422,True
benchmark,TSP-line_noise-n800-g1000-4,800,2,,62.475960629190496,2.2711458829684106,1.337585258286,True
benchmark,TSP-line_noise-n800-g1000-5,800,2,,39.20369206364902,2.4054776644081857,1.2474729295835436,True
benchmark,TSP-line_noise-n800-g10000-1,800,2,,75.65819234293865,2.120339666465999,1.3169353851793748,True
benchmark,TSP-line_noise-n800-g10000-2,800,2,,12.775705854474001,2.991118882864368,1.161847335257305,True
benchmark,TSP-line_noise-n800-g10000-3,800,2,,57.49126889400294,2.156634542517898,1.3657858490711106,True
benchmark,TSP-line_noise-n800-g10000-4,800,2,,12.929556165735645,2.9995543715127075,1.1687832908904152,True
benchmark,TSP-line_noise-n800-g10000-5,800,2,,32.18599896143502,2.9780524135034967,1.2177526992294374,True
benchmark,TSP-line_noise-n90-g1000-1,90,2,,6.20050008751408,1.8598398666723504,1.6863725647923788,False
benchmark,TSP-line_noise-n90-g1000-2,90,2,,9.22084986339324,1.894482935111239,1.749939423663115,False
benchmark,TSP-line_noise-n90-g1000-3,90,2,,8.947002790481125,1.9799424107306771,1.7175569642778754,False
benchmark,TSP-line_noise-n90-g1000-4,90,2,,5.302483927833504,2.3153214718027395,1.5532383728022463,False
benchmark,TSP-line_noise-n90-g1000-5,90,2,,7.39315115195902,2.1225864626755597,1.6712555553919588,False
benchmark,TSP-line_noise-n90-g10000-1,90,2,,6.472252298447011,2.156583265596289,1.720381683011964,False
benchmark,TSP-line_noise-n90-g10000-2,90,2,,3.8673576248942987,2.9178585257447924,1.5694029508564908,False
benchmark,TSP-line_noise-n90-g10000-3,90,2,,5.02547123047439,1.9306989425424967,1.6655725108634596,False
benchmark,TSP-line_noise-n90-g10000-4,90,2,,5.8570741980996255,2.437755707835819,1.6787072143393422,False
benchmark,TSP-line_noise-n90-g10000-5,90,2,,6.627523279191619,2.1650212106104108,1.6830537506332075,False
benchmark,TSP-line_noise-n900-g1000-1,900,2,,17.45175210734407,3.1253109914694495,1.1601208133189729,True
benchmark,TSP-line_noise-n900-g1000-2,900,2,,55.96165339629999,2.2742067420254535,1.275673364859222,True
benchmark,TSP-line_noise-n900-g1000-3,900,2,,29.69570169471467,3.582553837495476,1.1879271995683789,True
benchmark,TSP-line_noise-n900-g1000-4,900,2,,59.98494294818794,2.6828674342666248,1.2577693467525253,True
benchmark,TSP-line_noise-n900-g1000-5,900,2,,26.079889572480734,3.0482025904385694,1.1834003986845147,True
benchmark,TSP-line_noise-n900-g10000-1,900,2,,74.43337706536569,2.033498889267156,1.3747429028709504,True
benchmark,TSP-line_noise-n900-g10000-2,900,2,,16.634862467301595,2.939844995169999,1.1528088568769244,True
benchmark,TSP-line_noise-n900-g10000-3,900,2,,56.58761686119908,1.9180543307636786,1.3083671181918182,True
