table,bucket,bucket_slug,bucket_count,model,display,N,SDPE_pct,SDPE_lo,SDPE_hi,MAPE_pct,MedAPE_pct,MSPE_pct,RMSPE_pct,R2,R2_alpha,time_ms
2d_by_genclass,Clustered,clustered,60,Hilbert,Custom Hilbert sort,60,9.434912802316749,7.183984093377297,11.195924555415584,40.96666865053207,43.86646510294432,40.96666865053207,42.02144563890386,0.629930004831962,---,7.1362500020768005
2d_by_genclass,Clustered,clustered,60,Linear_V3,Linear (28-feature block),60,15.179493648718184,13.193342221557907,17.054391529560494,17.871636933549347,10.362910412537925,17.825228870343317,23.330570672854787,0.9637686891148253,-9.526199423474836,92.08045000559645
2d_by_genclass,Clustered,clustered,60,NN_V3,Neural net (30-feature block),60,4.109982328556666,2.7893766269431386,5.37261192008724,2.9748580113646272,2.31162237683958,0.24394983843834586,4.082883011513396,0.9984398883234605,0.699312854304603,137.52185000339514
2d_by_genclass,Clustered,clustered,60,BHH,BHH,60,25.02561011149083,18.184565514793366,29.756754174142692,33.849871487668516,26.780418120078608,33.718497149677646,41.86621779105001,0.729574076166551,---,6.72040000790725
2d_by_genclass,Clustered,clustered,60,Cavdar,Cavdar--Sokol,60,29.448874928685647,23.214281234460593,34.11122853161476,63.01193839413072,57.130542820461564,63.01193839413072,69.44988608707965,0.4832136916942805,---,15.579799975967
2d_by_genclass,Clustered,clustered,60,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,60,7.129858404996627,5.93728514352311,8.10051189808629,5.834388280294882,5.527313095627694,0.30342896937547087,7.076701350217413,0.9903966515862558,-0.0008910191029878334,39.2206999822519
2d_by_genclass,Clustered,clustered,60,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",60,5.361001313491208,4.312125504687718,6.233065493236426,7.937237705177539,7.013302690728024,-7.937237705177539,9.55306609874681,0.9946631554136086,-0.9499748028978028,33.780249999836045
2d_by_genclass,Clustered,clustered,60,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),60,5.653968489064812,4.693133871719537,6.457429414953429,20.45951062077681,19.405196010917294,-20.45951062077681,21.213819674662425,0.9525094886713055,-7.815958153320887,30.6749499868601
2d_by_genclass,Clustered,clustered,60,Asymptotic_MST,Asymptotic MST ratio,60,6.3621657741427455,5.28577762864844,7.2935634210448175,10.496533511674926,9.310158960950048,-10.496533511674926,12.246621978206628,0.9920610011613845,-2.156564477027646,31.782800011569606
2d_by_genclass,Clustered,clustered,60,BHH_region,BHH (sampling region),60,51.39226030384087,43.197130046761686,57.5588243510917,85.06257680060745,60.15000826217813,85.06257680060745,99.1604103667958,0.22673322863861822,---,0.11760002234946164
2d_by_genclass,Clustered,clustered,60,LGBM_V4,GART 2.0 (32-feature variant),60,2.608373912696962,1.996296176277779,3.185376918440186,2.0744393704448028,1.5553156885823207,-0.8676405788863588,2.728190071841467,0.9993088465843305,0.8514898706719867,49.6882000006735
2d_by_genclass,Clustered,clustered,60,Interp_V3,Interpretable (same features),60,4.617468162648478,3.297621482767624,5.718942034677658,3.294518294703749,2.276524633483872,0.08309465523627692,4.579581503905855,0.998607170724052,---,344.99115000107844
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,GART_2.0,GART 2.0,210,6.0897235404522165,5.66539784624393,6.474641119333262,10.82420132325598,11.035931585795783,-10.818559468352937,12.407633448958615,0.9755515067724465,0.29356180157331335,105.94994999701154
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,GART,GART 1.0,210,14.897082797773562,13.476902935563995,16.158323112310796,12.03045890978158,10.502373687090373,2.172157255443908,15.019472909335779,0.9382195364973347,0.2624859152672453,47.0786499936366
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,MST_Ratio,Fixed MST scaling,210,11.472333264132585,10.796302965777722,12.161963821472968,29.18565800619146,33.60998772826135,-29.18565800619146,31.349486892040936,0.8459576610646379,-3.9311365619579117,16.08114998089145
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,Hilbert,Custom Hilbert sort,210,24.642167999419215,22.995264509932163,26.2171007647896,38.32367431731516,42.86383261368837,38.32367425551951,45.530746205634024,0.4135628402249262,---,0.66215000697405
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,Linear_V3,Linear (28-feature block),210,12.568082745979176,11.300010108558238,13.809219267669556,12.747196814441036,13.750510866534839,-8.542627058999255,15.171717312104223,0.953756102086942,-0.10396189553449875,61.8595000123605
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,NN_V3,Neural net (30-feature block),210,5.254860456825777,4.841199440639103,5.61363972683557,9.138173495372445,8.703854448045949,-9.138173495372445,10.535097537132817,0.9839503413332441,0.48959296062964197,140.59945000917645
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,BHH,BHH,210,72.70150657905997,67.18693691254383,77.80244904687648,58.96875334938269,45.380000236643724,23.490076403828645,76.23728521902066,-1.1503405815447674,---,5.88584999786685
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,Cavdar,Cavdar--Sokol,210,82.16533908213687,75.93866987272084,87.98119526552195,74.97102083092275,57.118768725440404,51.14010866912249,96.61420890028047,-2.41924996152725,---,6.03170000249515
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,210,13.457699034679104,12.675492457980985,14.205089065242282,18.295571270714376,22.120741832436234,-16.930751578583205,21.607813062768916,0.9365441205885683,-1.4823223548816364,23.912549979286197
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",210,8.643038791152787,8.03727505166433,9.180298084646111,20.44892665769762,20.170161933669533,-20.44892665769762,22.192453596177252,0.9162309298995702,-1.364481704210871,22.7513500140048
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),210,10.671937920123334,10.005116742501459,11.257225906941141,34.126193494131584,38.241849049545436,-34.126193494131584,35.74835670074007,0.7867934054479165,-5.249592979421878,24.2320499673951
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,Asymptotic_MST,Asymptotic MST ratio,210,12.008669363917017,11.26193938887523,12.636137966831207,25.875059619679895,30.50622849928316,-25.875059619679895,28.513858819630354,0.8783218868362944,-3.1541543311236957,23.332699987804446
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,BHH_region,BHH (sampling region),210,107.1631321280495,100.11480358249639,113.47833105068233,140.55594053125483,113.75581142840244,134.04348577475594,171.45526399732094,-9.906327434462721,---,0.08340002386830747
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,LGBM_V4,GART 2.0 (32-feature variant),210,5.281809354801709,4.879480443373573,5.659374164392299,9.23399230538782,9.76412230453138,-9.15575916696314,10.563739427773584,0.9811801316501456,0.49179522458560987,43.865500003448645
2d_by_genclass,Line Noise\textsuperscript{$\dagger$},linenoise,210,Interp_V3,Interpretable (same features),210,6.998026783742084,6.484644122156577,7.460564858787516,11.368244313784723,10.6989936938912,-11.126021449859765,13.13497355781836,0.9706255922757808,---,348.3043999967776
2d_by_genclass,\textbf{Total},total,2580,GART_2.0,GART 2.0,2580,4.683987153241219,4.423705891908221,4.923058086306723,2.8891673265918123,1.4892998175487941,-0.09514114239019135,4.6840456568222795,0.9982419551811427,0.8670831990700896,112.5369500077795
2d_by_genclass,\textbf{Total},total,2580,GART,GART 1.0,2580,7.903783935991669,7.59994771637984,8.163536582594785,7.302455776716058,6.265053767755081,5.131108485258327,9.42198820278174,0.9880818541262488,0.637124310276155,50.05255001015025
2d_by_genclass,\textbf{Total},total,2580,MST_Ratio,Fixed MST scaling,2580,11.03596846613928,10.676837730297233,11.384097827678984,12.485631298715074,8.208987634843146,-11.800187233819084,16.155179117072784,0.9923089209036804,-0.7727977957546162,18.6401000100886
2d_by_genclass,\textbf{Total},total,2580,Hilbert,Custom Hilbert sort,2580,14.186525327358433,13.747576165140165,14.596781950675881,30.94616506855034,34.97229701181943,30.94616493020004,34.04180691396455,0.8010074974786213,---,0.7258500118040501
2d_by_genclass,\textbf{Total},total,2580,Linear_V3,Linear (28-feature block),2580,7.714546297460092,7.3086880752965095,8.146590100717898,5.1963748547466295,3.5139715171489225,0.37871332708618427,7.722342962525207,0.9949042393069627,0.6290846396088273,68.30235000234089
2d_by_genclass,\textbf{Total},total,2580,NN_V3,Neural net (30-feature block),2580,4.608591770260034,4.404189778531981,4.820536741076228,2.981758611451658,1.630601124370548,-0.09484694440251838,4.608674628507774,0.9983424840878969,0.8759698986774315,143.6957499827258
2d_by_genclass,\textbf{Total},total,2580,BHH,BHH,2580,31.998397751732405,29.996960265367722,33.972260847266945,23.7967827636281,15.533846570935975,-13.71091210391854,34.80646074968476,0.942849588513623,---,6.52770002488975
2d_by_genclass,\textbf{Total},total,2580,Cavdar,Cavdar--Sokol,2580,34.61315472930805,31.958721142054863,37.116742023234465,18.235581796337677,6.630406845115656,-0.9648524585735584,34.619893878789014,0.9429499159977557,---,6.1198000039439
